miR_ID,mRNA_ID
hsa-miR-186-5p,NM_001895
hsa-miR-216b-5p,NM_001895
hsa-miR-137,NM_001012614
hsa-miR-18a-5p,NM_001901
hsa-miR-145-5p,NM_001901
hsa-miR-205-5p,NM_001901
hsa-miR-26a-5p,NM_001901
hsa-miR-181b-5p,NM_001042355
hsa-miR-182-5p,NM_001042355
hsa-miR-27b-3p,NM_000104
hsa-let-7b-5p,NM_000775
hsa-miR-122-5p,NM_000780
hsa-miR-422a,NM_000780
hsa-miR-422a,NM_004391
hsa-miR-106a-5p,NM_000103
hsa-let-7f-5p,NM_000103
hsa-miR-19b-3p,NM_000103
hsa-miR-21-5p,NM_001141969
hsa-miR-128-3p,NM_000555
hsa-miR-374a-5p,NM_001199742
hsa-miR-205-5p,NM_004396
hsa-miR-24-3p,NM_000791
hsa-miR-141-3p,NM_005221
hsa-miR-200a-3p,NM_005221
hsa-miR-148a-3p,NM_001130823
hsa-miR-126-3p,NM_001130823
hsa-miR-140-5p,NM_001130823
hsa-miR-29b-3p,NM_001130823
hsa-miR-301b,NM_001130823
hsa-miR-185-5p,NM_001130823
hsa-miR-152-3p,NM_001130823
hsa-miR-342-3p,NM_001130823
hsa-miR-148a-3p,NM_001207055
hsa-miR-29c-3p,NM_001207055
hsa-miR-369-5p,NM_001207055
hsa-miR-29a-3p,NM_001207055
hsa-miR-29b-3p,NM_001207055
hsa-miR-19a-3p,NM_001197293
hsa-miR-504-5p,NM_000794
hsa-miR-182-5p,NM_001015881
hsa-miR-101-3p,NM_004417
hsa-miR-29b-3p,NM_004418
hsa-miR-122-5p,NM_004418
hsa-miR-181a-5p,NM_004419
hsa-miR-181a-5p,NM_001946
hsa-miR-221-3p,NM_004422
hsa-miR-324-3p,NM_004422
hsa-miR-331-3p,NM_005225
hsa-miR-362-3p,NM_005225
hsa-miR-93-5p,NM_005225
hsa-miR-149-3p,NM_005225
hsa-miR-20a-5p,NM_005225
hsa-miR-17-5p,NM_005225
hsa-miR-106b-5p,NM_005225
hsa-miR-181b-5p,NM_005225
hsa-miR-98-5p,NM_005225
hsa-miR-106a-5p,NM_005225
hsa-miR-223-3p,NM_005225
hsa-miR-34a-5p,NM_005225
hsa-miR-21-5p,NM_005225
hsa-miR-205-5p,NM_005225
hsa-let-7a-5p,NM_005225
hsa-miR-330-3p,NM_005225
hsa-miR-24-3p,NM_004091
hsa-miR-155-5p,NM_004091
hsa-let-7a-5p,NM_004091
hsa-miR-98-5p,NM_004091
hsa-miR-125b-5p,NM_004091
hsa-miR-200b-3p,NM_001243076
hsa-miR-34c-5p,NM_001243076
hsa-miR-125b-5p,NM_001243076
hsa-miR-106b-5p,NM_001243076
hsa-miR-34a-5p,NM_001243076
hsa-miR-17-5p,NM_001243076
hsa-miR-128-3p,NM_001243076
hsa-miR-203a,NM_001243076
hsa-miR-210-3p,NM_001243076
hsa-miR-195-5p,NM_001243076
hsa-miR-20a-5p,NM_001243076
hsa-miR-141-3p,NM_001243076
hsa-miR-205-5p,NM_001083588
hsa-miR-200c-3p,NM_001401
