miR_ID,mRNA_ID
hsa-miR-130a-3p,NM_005461
hsa-miR-208a-3p,NM_005121
hsa-miR-210-3p,NM_001137667
hsa-miR-133a-3p,NM_005477
hsa-miR-133b,NM_005477
hsa-miR-1,NM_005477
hsa-miR-613,NM_001130101
hsa-miR-31-5p,NM_001270439
hsa-miR-22-3p,NM_001270439
hsa-miR-155-5p,NM_001005386
hsa-miR-21-5p,NM_005729
hsa-miR-19b-3p,NM_001048200
hsa-miR-106a-5p,NM_001048200
hsa-miR-92a-3p,NM_001048200
hsa-miR-20b-5p,NM_001048200
hsa-miR-21-5p,NM_001128602
hsa-miR-218-5p,NM_001243877
hsa-miR-372-3p,NM_144778
hsa-miR-218-5p,NM_144778
hsa-miR-302d-3p,NM_144778
hsa-miR-146a-5p,NM_001201404
hsa-miR-21-5p,NM_001195622
hsa-miR-21-5p,NM_005842
hsa-miR-27a-3p,NM_005842
hsa-miR-218-5p,NM_005843
hsa-miR-25-3p,NM_006072
hsa-miR-92a-3p,NM_016270
hsa-miR-200c-3p,NM_001197181
hsa-miR-30a-5p,NM_006088
hsa-miR-21-5p,NM_006099
hsa-miR-21-5p,NM_001271606
hsa-miR-221-3p,NM_006321
hsa-miR-145-5p,NM_001040020
hsa-miR-335-5p,NM_006343
hsa-miR-126-3p,NM_006343
hsa-miR-338-3p,NM_001278196
hsa-miR-137,NM_006540
hsa-miR-200c-3p,NM_006329
hsa-miR-501-5p,NM_006402
hsa-miR-145-5p,NM_006407
hsa-miR-155-5p,NM_006407
hsa-miR-125a-5p,NM_006465
hsa-miR-125b-5p,NM_006465
hsa-miR-373-3p,NM_006472
hsa-miR-363-3p,NM_001006624
hsa-miR-302a-3p,NM_020997
hsa-miR-302d-3p,NM_020997
hsa-let-7g-5p,NM_001160423
hsa-miR-218-5p,NM_006579
hsa-miR-520b,NM_006609
hsa-miR-26a-5p,NM_006609
hsa-miR-125b-5p,NM_006617
hsa-miR-302a-3p,NM_016272
hsa-miR-378a-3p,NM_016272
hsa-miR-126-3p,NM_001252226
hsa-miR-200b-3p,NM_006646
hsa-miR-200a-3p,NM_006646
hsa-miR-429,NM_006646
hsa-miR-1258,NM_001098540
hsa-miR-23a-3p,NM_013261
hsa-miR-29b-3p,NM_006690
hsa-miR-29c-3p,NM_006690
hsa-miR-138-5p,NM_001167820
hsa-let-7c-5p,NM_006710
hsa-let-7i-5p,NM_006710
hsa-let-7f-5p,NM_006710
hsa-let-7e-3p,NM_006710
hsa-miR-383-5p,NM_006793
hsa-miR-122-5p,NM_001134296
hsa-miR-204-5p,NM_006822
hsa-let-7i-5p,NM_006833
hsa-let-7e-3p,NM_006833
hsa-let-7f-5p,NM_006833
hsa-let-7c-5p,NM_006833
hsa-miR-221-3p,NM_001193333
hsa-miR-222-3p,NM_001193333
hsa-miR-24-3p,NM_001193333
hsa-miR-206,NM_007085
hsa-miR-155-3p,NM_001142523
hsa-miR-21-5p,NM_007207
hsa-miR-221-3p,NM_017414
hsa-miR-145-5p,NM_007260
hsa-miR-197-3p,NM_007275
hsa-miR-98-5p,NM_007275
hsa-miR-378a-5p,NM_007275
hsa-miR-93-5p,NM_007275
hsa-miR-378a-3p,NM_007275
hsa-miR-1,NM_007284
hsa-miR-126-3p,NM_007284
hsa-miR-155-5p,NM_001145365
hsa-miR-155-5p,NM_014904
hsa-miR-29a-3p,NM_001178137
hsa-miR-26a-5p,NM_001178137
hsa-miR-141-3p,NM_014023
hsa-miR-200a-3p,NM_014023
hsa-miR-200c-3p,NM_014023
hsa-miR-200b-3p,NM_014023
hsa-miR-429,NM_014023
hsa-miR-122-5p,NM_001198850
hsa-miR-335-5p,NM_001102664
hsa-miR-92a-3p,NM_012325
hsa-miR-10b-5p,NM_012325
hsa-miR-424-5p,NM_007348
hsa-miR-503-5p,NM_007348
hsa-let-7b-5p,NM_144563
hsa-miR-31-5p,NM_012242
hsa-miR-29a-3p,NM_012242
hsa-miR-137,NM_001009999
hsa-miR-224-5p,NM_001242539
hsa-miR-155-5p,NM_015041
hsa-miR-145-5p,NM_015055
hsa-miR-210-3p,NM_015141
hsa-miR-9-3p,NM_015156
hsa-miR-22-3p,NM_015156
hsa-miR-516a-3p,NM_001128204
hsa-miR-1,NM_001270940
hsa-miR-122-5p,NM_001270940
hsa-miR-125b-5p,NM_001253912
hsa-miR-190a-5p,NM_194449
hsa-miR-155-5p,NM_001161661
hsa-miR-31-5p,NM_001172509
hsa-miR-181c-5p,NM_001130067
hsa-miR-29c-3p,NM_015316
hsa-miR-29b-3p,NM_015316
hsa-miR-29a-3p,NM_015316
hsa-miR-374a-5p,NM_001195573
hsa-let-7d-5p,NM_001195573
hsa-miR-154-5p,NM_001195573
hsa-miR-221-3p,NM_001195573
hsa-miR-18a-5p,NM_001195573
hsa-miR-519a-3p,NM_001195573
hsa-let-7c-5p,NM_001195573
hsa-miR-103a-3p,NM_001195573
hsa-miR-29a-3p,NM_001195573
hsa-let-7a-5p,NM_001195573
hsa-miR-130a-3p,NM_001195573
hsa-miR-130b-3p,NM_001195573
hsa-miR-107,NM_001195573
hsa-miR-222-3p,NM_001195573
hsa-miR-449a,NM_001142498
hsa-miR-449b-5p,NM_001142498
hsa-miR-132-3p,NM_001142498
hsa-miR-199a-5p,NM_001142498
hsa-miR-181b-5p,NM_001142498
hsa-miR-34a-5p,NM_001142498
hsa-miR-217,NM_001142498
hsa-miR-128-3p,NM_001142498
hsa-miR-181c-5p,NM_001142498
hsa-miR-9-5p,NM_001142498
hsa-miR-181a-5p,NM_001142498
hsa-miR-138-5p,NM_001142498
hsa-miR-216a-5p,NM_001142498
hsa-miR-200c-3p,NM_012082
hsa-miR-141-3p,NM_012082
hsa-miR-200b-3p,NM_012082
hsa-miR-429,NM_012082
hsa-miR-200a-3p,NM_012082
hsa-miR-210-3p,NM_014301
hsa-miR-21-5p,NM_014301
hsa-miR-421,NM_175709
hsa-miR-181b-5p,NM_175709
hsa-miR-19a-3p,NM_015355
hsa-miR-101-3p,NM_015355
hsa-miR-138-5p,NM_015355
hsa-miR-296-5p,NM_015356
hsa-miR-155-5p,NM_015358
hsa-miR-320d,NM_001031695
hsa-miR-498,NM_001031695
hsa-miR-140-5p,NM_012100
hsa-miR-210-3p,NM_001134445
hsa-miR-155-5p,NM_001042476
hsa-miR-29c-3p,NM_001207048
hsa-miR-29a-3p,NM_001207048
hsa-miR-9-5p,NM_001207048
hsa-miR-124-3p,NM_001207048
hsa-miR-298,NM_001207048
hsa-miR-19b-3p,NM_001207048
hsa-miR-328-3p,NM_001207048
hsa-miR-107,NM_001207048
hsa-miR-15a-5p,NM_001207048
hsa-miR-29b-3p,NM_001207048
hsa-miR-155-5p,NM_012317
hsa-miR-122-5p,NM_014331
hsa-miR-30a-3p,NM_001135820
hsa-miR-15a-5p,NM_001098517
hsa-miR-16-5p,NM_001098517
hsa-miR-155-5p,NM_031412
hsa-miR-138-5p,NM_014335
hsa-miR-122-5p,NM_015375
hsa-miR-204-5p,NM_001252294
hsa-miR-510-5p,NM_001252294
hsa-miR-20b-5p,NM_012342
hsa-miR-15a-5p,NM_001195071
hsa-miR-155-5p,NM_015483
hsa-miR-9-5p,NM_001244644
hsa-miR-155-5p,NM_015542
hsa-miR-26a-5p,NM_001018067
hsa-miR-181a-5p,NM_001193431
hsa-miR-126-3p,NM_181671
hsa-miR-433-3p,NM_019851
hsa-miR-503-5p,NM_012199
hsa-miR-93-5p,NM_014572
hsa-miR-373-3p,NM_014572
hsa-miR-372-3p,NM_014572
hsa-miR-31-5p,NM_014572
hsa-miR-429,NM_012383
hsa-miR-155-5p,NM_001244262
hsa-miR-29a-3p,NM_001244262
hsa-miR-17-5p,NM_001244262
hsa-miR-221-3p,NM_001127241
hsa-miR-483-3p,NM_001127241
hsa-miR-125b-5p,NM_001127241
hsa-miR-296-5p,NM_001127241
hsa-miR-222-3p,NM_001127241
hsa-miR-221-3p,NM_014421
hsa-miR-218-5p,NM_014421
hsa-miR-155-5p,NM_014431
hsa-miR-155-5p,NM_015695
hsa-miR-376a-3p,NM_001164623
hsa-miR-204-5p,NM_014445
hsa-miR-183-5p,NM_001199492
hsa-miR-182-5p,NM_001199492
hsa-miR-499a-5p,NM_001199492
hsa-miR-21-5p,NM_001199492
hsa-miR-429,NM_014458
hsa-miR-200c-3p,NM_014458
hsa-miR-141-3p,NM_014458
hsa-miR-200b-3p,NM_014458
hsa-miR-200a-3p,NM_014458
hsa-miR-30a-5p,NM_014494
hsa-miR-125b-5p,NM_001144929
hsa-miR-29b-3p,NM_001144929
hsa-let-7a-5p,NM_001144929
hsa-miR-34a-5p,NM_005618
hsa-miR-140-5p,NM_014028
hsa-miR-27a-3p,NM_001113239
hsa-miR-181a-5p,NM_001113239
hsa-miR-155-5p,NM_014161
hsa-miR-200c-3p,NM_013254
hsa-miR-221-3p,NM_013254
hsa-miR-92a-3p,NM_013262
hsa-miR-19b-3p,NM_013262
hsa-miR-20b-5p,NM_013262
hsa-miR-106a-5p,NM_013262
hsa-miR-200c-3p,NM_001173984
hsa-miR-192-5p,NM_001126103
hsa-miR-145-5p,NM_014547
hsa-miR-155-5p,NM_013438
hsa-miR-29b-3p,NM_013351
hsa-miR-29b-3p,NM_013435
hsa-miR-29b-3p,NM_015719
hsa-miR-342-3p,NM_015721
hsa-miR-595,NM_001037281
hsa-miR-31-5p,NM_001114377
hsa-miR-218-5p,NM_025237
hsa-miR-204-5p,NM_025237
hsa-miR-148a-3p,NM_181836
hsa-miR-451a,NM_181836
hsa-miR-222-3p,NM_181836
hsa-miR-181b-5p,NM_181836
hsa-let-7a-5p,NM_181836
hsa-miR-221-3p,NM_181836
hsa-miR-24-3p,NM_181836
hsa-miR-484,NM_016068
hsa-miR-155-5p,NM_016072
hsa-miR-449b-5p,NM_001251989
hsa-miR-449a,NM_001251989
hsa-miR-155-5p,NM_001007075
hsa-miR-155-5p,NM_001042399
hsa-miR-155-5p,NM_001171740
hsa-miR-20b-5p,NM_016441
hsa-miR-122-5p,NM_001002009
hsa-miR-17-5p,NM_001198559
hsa-miR-155-5p,NM_016618
hsa-miR-155-5p,NM_015891
hsa-miR-19a-3p,NM_016322
hsa-miR-451a,NM_016322
hsa-miR-122-5p,NM_016577
hsa-miR-490-3p,NM_015966
hsa-miR-372-3p,NM_015995
hsa-miR-31-5p,NM_015995
hsa-miR-302d-3p,NM_015995
hsa-miR-125b-5p,NM_015995
hsa-miR-125a-5p,NM_015995
hsa-miR-375,NM_001199989
hsa-miR-16-5p,NM_015964
hsa-miR-92b-3p,NM_016231
hsa-miR-181c-5p,NM_016231
hsa-miR-181b-5p,NM_016231
hsa-miR-181a-5p,NM_016231
hsa-miR-155-5p,NM_001130849
hsa-miR-195-5p,NM_001130849
hsa-miR-451a,NM_001130849
hsa-miR-29b-3p,NM_016306
hsa-miR-19b-3p,NM_001206794
hsa-miR-92a-3p,NM_001206794
hsa-miR-20b-5p,NM_001206794
hsa-miR-106a-5p,NM_001206794
hsa-miR-17-3p,NM_017423
hsa-miR-378a-3p,NM_017423
hsa-miR-155-5p,NM_001144903
hsa-miR-210-3p,NM_001004356
hsa-miR-200c-3p,NM_018948
hsa-miR-29c-3p,NM_030761
hsa-miR-200b-3p,NM_001242581
hsa-miR-429,NM_001242581
hsa-miR-200a-3p,NM_001242581
hsa-miR-200c-3p,NM_001242581
hsa-miR-141-3p,NM_001242581
hsa-miR-181a-5p,NM_019058
hsa-miR-221-3p,NM_019058
hsa-miR-98-5p,NM_001134375
hsa-miR-155-5p,NM_019087
hsa-miR-155-5p,NM_017515
hsa-miR-155-5p,NM_001083913
hsa-miR-130a-3p,NM_018036
hsa-miR-133b,NM_001033030
hsa-miR-409-3p,NM_018288
hsa-miR-155-5p,NM_018362
hsa-miR-155-5p,NM_018509
hsa-miR-192-5p,NM_018518
hsa-miR-26a-5p,NM_001206864
hsa-miR-499a-5p,NM_001145811
hsa-miR-1,NM_001145811
hsa-miR-338-3p,NM_017582
hsa-miR-31-5p,NM_017902
hsa-miR-197-3p,NM_001168348
hsa-miR-200a-3p,NM_018052
hsa-miR-200c-3p,NM_018052
hsa-miR-141-3p,NM_018052
hsa-miR-200b-3p,NM_018052
hsa-miR-429,NM_018052
hsa-miR-214-3p,NM_018154
hsa-miR-155-5p,NM_001006945
hsa-miR-155-5p,NM_001146688
hsa-miR-1,NM_018448
hsa-miR-122-5p,NM_018660
hsa-miR-429,NM_001006600
hsa-miR-200b-3p,NM_001006600
hsa-miR-200a-3p,NM_001006600
hsa-miR-200c-3p,NM_001006600
hsa-miR-141-3p,NM_001006600
hsa-miR-301a-3p,NM_001173487
hsa-miR-21-5p,NM_020123
hsa-miR-29b-3p,NM_001012329
hsa-miR-215-5p,NM_001012329
hsa-miR-145-5p,NM_020299
hsa-miR-155-5p,NM_020313
hsa-miR-155-5p,NM_020314
hsa-miR-30a-5p,NM_020371
hsa-miR-21-5p,NM_007008
hsa-miR-17-5p,NM_021035
hsa-miR-204-5p,NM_020673
hsa-miR-211-5p,NM_020673
hsa-miR-218-5p,NM_016252
hsa-miR-145-5p,NM_020762
hsa-miR-214-3p,NM_020762
hsa-miR-155-5p,NM_001105531
hsa-miR-155-5p,NM_020856
hsa-miR-155-5p,NM_020857
hsa-miR-24-3p,NM_021158
hsa-miR-155-5p,NM_001204456
hsa-miR-133b,NM_021190
hsa-miR-145-5p,NM_021214
hsa-miR-145-5p,NM_021243
hsa-miR-148a-3p,NM_001199513
hsa-miR-30c-5p,NM_001199513
hsa-miR-133a-3p,NM_022114
hsa-miR-133b,NM_022114
hsa-miR-15a-5p,NM_022117
hsa-miR-1228-3p,NM_022151
hsa-miR-124-3p,NM_001005474
hsa-miR-155-5p,NM_001256550
hsa-miR-145-5p,NM_001077525
hsa-miR-124-3p,NM_001167740
hsa-miR-143-3p,NM_001135095
hsa-miR-215-5p,NM_001184985
hsa-miR-192-5p,NM_001184985
hsa-miR-296-5p,NM_032387
hsa-miR-122-5p,NM_023928
hsa-miR-27a-3p,NM_001105539
hsa-miR-122-5p,NM_023934
hsa-miR-133a-3p,NM_206824
hsa-miR-192-5p,NM_001258217
hsa-miR-211-5p,NM_001130721
hsa-miR-204-5p,NM_001130721
hsa-miR-27a-3p,NM_024102
hsa-miR-21-5p,NM_001134671
hsa-miR-375,NM_024551
hsa-miR-124-3p,NM_024551
hsa-miR-30c-1-3p,NM_001135726
hsa-miR-155-5p,NM_001166301
hsa-miR-125b-5p,NM_024674
hsa-miR-125a-5p,NM_024674
hsa-let-7a-5p,NM_024674
hsa-let-7b-5p,NM_024674
hsa-miR-191-5p,NM_001160364
hsa-miR-145-5p,NM_024865
hsa-miR-181a-3p,NM_024865
hsa-miR-34a-5p,NM_024865
hsa-miR-34b-3p,NM_024865
hsa-miR-34c-5p,NM_024865
hsa-miR-21-5p,NM_024940
hsa-miR-155-5p,NM_025134
hsa-miR-29b-3p,NM_030625
hsa-miR-29a-3p,NM_030627
hsa-miR-26a-5p,NM_030627
hsa-miR-145-5p,NM_030627
hsa-miR-29a-3p,NM_001024736
hsa-miR-29c-3p,NM_030820
hsa-miR-155-5p,NM_001128309
hsa-miR-204-5p,NM_022818
hsa-miR-210-3p,NM_030938
hsa-miR-155-5p,NM_001161499
hsa-miR-335-5p,NM_030978
hsa-miR-429,NM_031283
hsa-miR-200b-3p,NM_031283
hsa-miR-141-3p,NM_031283
hsa-miR-200c-3p,NM_031283
hsa-miR-200a-3p,NM_031283
hsa-miR-331-3p,NM_001145165
hsa-miR-642a-5p,NM_001145165
hsa-miR-132-3p,NM_015059
hsa-miR-194-5p,NM_015059
hsa-miR-106b-5p,NM_001257137
hsa-miR-9-5p,NM_001142624
hsa-miR-155-5p,NM_032415
hsa-miR-615-3p,NM_001170765
hsa-miR-192-5p,NM_032737
hsa-miR-155-5p,NM_032783
hsa-miR-122-5p,NM_032815
hsa-miR-155-5p,NM_032815
hsa-miR-155-5p,NM_001172303
hsa-miR-145-5p,NM_032898
hsa-miR-24-3p,NM_001204300
hsa-miR-32-5p,NM_033102
hsa-miR-126-5p,NM_033102
hsa-miR-126-3p,NM_033102
hsa-miR-138-5p,NM_033102
hsa-miR-16-5p,NM_033131
hsa-miR-15a-5p,NM_033131
hsa-miR-221-3p,NM_001003943
hsa-miR-125b-5p,NM_001003943
hsa-miR-137,NM_194250
hsa-miR-375,NM_178812
hsa-miR-26a-5p,NM_178812
hsa-miR-136-5p,NM_178812
hsa-miR-708-5p,NM_203411
hsa-miR-155-5p,NM_152277
hsa-miR-155-5p,NM_152289
hsa-miR-20a-5p,NM_001270695
hsa-miR-122-5p,NM_022073
hsa-miR-20a-5p,NM_022073
hsa-miR-708-3p,NM_144582
hsa-miR-28-5p,NM_144582
hsa-miR-155-5p,NM_183075
hsa-miR-92a-3p,NM_001003712
hsa-miR-335-5p,NM_052972
hsa-miR-155-5p,NM_001166293
hsa-miR-181a-5p,NM_001145201
hsa-miR-193a-3p,NM_001145201
hsa-miR-193b-3p,NM_001145201
hsa-miR-23b-3p,NM_001145201
hsa-miR-205-5p,NM_198578
hsa-miR-302a-3p,NM_001040153
hsa-miR-98-5p,NM_080867
hsa-miR-145-5p,NM_001099225
hsa-miR-320a,NM_144617
hsa-miR-412-3p,NM_001111031
hsa-miR-22-3p,NM_001111031
hsa-miR-376b-3p,NM_001111031
hsa-miR-376a-5p,NM_001111031
hsa-miR-376a-3p,NM_001111031
hsa-miR-376c-3p,NM_001111031
hsa-miR-147a,NM_001111031
hsa-miR-122-5p,NM_001111031
hsa-miR-376a-5p,NM_001201459
hsa-let-7a-5p,NM_001039111
hsa-let-7c-5p,NM_001039111
hsa-miR-210-3p,NM_001177381
hsa-miR-92a-3p,NM_001177381
hsa-miR-26a-5p,NM_001177381
hsa-let-7b-5p,NM_145808
hsa-miR-375,NM_145808
hsa-miR-124-3p,NM_145808
hsa-miR-155-5p,NM_207318
hsa-miR-17-5p,NM_001040022
hsa-miR-20a-5p,NM_001040022
hsa-miR-106a-5p,NM_001040022
hsa-miR-31-5p,NM_145056
hsa-miR-122-5p,NM_173511
hsa-miR-34a-5p,NM_175737
hsa-miR-124-3p,NM_172037
hsa-let-7b-5p,NM_172037
hsa-miR-155-5p,NM_144963
hsa-miR-126-3p,NM_152594
hsa-miR-155-5p,NM_017629
hsa-let-7a-5p,NM_017629
hsa-miR-155-5p,NM_152641
hsa-miR-31-5p,NM_175061
hsa-miR-155-5p,NM_153371
hsa-miR-181a-5p,NM_001012753
hsa-miR-151a-3p,NM_001012753
hsa-miR-510-5p,NM_001256613
hsa-miR-145-5p,NM_198485
hsa-miR-143-3p,NM_182762
hsa-miR-24-3p,NM_194249
hsa-miR-127-3p,NM_020382
hsa-miR-125b-5p,NM_001004317
hsa-let-7b-5p,NM_001004317
hsa-miR-376a-5p,NM_014758
hsa-miR-145-5p,NM_207009
hsa-miR-421,NM_001162536
hsa-miR-338-3p,NM_001114633
hsa-miR-23a-3p,NM_198155
hsa-miR-23a-3p,NM_199168
hsa-miR-1,NM_170735
hsa-miR-145-5p,NM_024615
hsa-miR-23a-3p,NM_024909
hsa-let-7e-5p,NM_006306
hsa-miR-15a-5p,NM_021145
hsa-miR-199b-5p,NM_005562
hsa-miR-24-1-5p,NM_052910
hsa-miR-15a-5p,NM_000633
hsa-miR-16-5p,NM_000633
hsa-miR-125a-5p,NM_004448
hsa-miR-125a-5p,NM_001982
hsa-miR-125b-5p,NM_004448
hsa-miR-125b-5p,NM_001982
hsa-miR-21-5p,NM_001018005
hsa-let-7a-5p,NM_181833
hsa-miR-133a-3p,NM_000218
hsa-miR-1,NM_005345
hsa-miR-133a-3p,NM_001229
hsa-miR-133a-3p,NM_172057
hsa-miR-30a-3p,NM_017599
hsa-miR-30a-3p,NM_025222
hsa-miR-30a-3p,NM_006009
hsa-miR-26a-5p,NM_003242
hsa-miR-124-3p,NM_006016
hsa-miR-124-3p,NM_152237
hsa-miR-124-3p,NM_006111
hsa-miR-124-3p,NM_003848
hsa-miR-124-3p,NM_004781
hsa-miR-124-3p,NM_182642
hsa-miR-124-3p,NM_002742
hsa-miR-124-3p,NM_001665
hsa-miR-124-3p,NM_002508
hsa-miR-124-3p,NM_015702
hsa-miR-124-3p,NM_152285
hsa-miR-124-3p,NM_172390
hsa-miR-124-3p,NM_001951
hsa-miR-124-3p,NM_012334
hsa-miR-124-3p,NM_213636
hsa-miR-124-3p,NM_002632
hsa-miR-124-3p,NM_145204
hsa-miR-124-3p,NM_024306
hsa-miR-124-3p,NM_032156
hsa-miR-124-3p,NM_020360
hsa-miR-124-3p,NM_032837
hsa-miR-124-3p,NM_006887
hsa-miR-124-3p,NM_004450
hsa-miR-124-3p,NM_003765
hsa-miR-124-3p,NM_012339
hsa-miR-124-3p,NM_024944
hsa-miR-124-3p,NM_144720
hsa-miR-181a-5p,NM_005523
hsa-miR-1,NM_002822
hsa-miR-1,NM_175866
hsa-miR-1,NM_001660
hsa-miR-1,NM_152450
hsa-miR-1,NM_003769
hsa-miR-1,NM_002455
hsa-miR-1,NM_020701
hsa-miR-1,NM_152282
hsa-miR-1,NM_138335
hsa-miR-1,NM_018092
hsa-miR-1,NM_012329
hsa-miR-1,NM_014904
hsa-miR-1,NM_005715
hsa-miR-1,NM_019027
hsa-miR-1,NM_006148
hsa-miR-1,NM_000362
hsa-miR-1,NM_014445
hsa-miR-1,NM_019004
hsa-miR-1,NM_014937
hsa-miR-1,NM_004396
hsa-miR-1,NM_006367
hsa-miR-1,NM_014857
hsa-miR-1,NM_016004
hsa-miR-1,NM_016291
hsa-miR-1,NM_002999
hsa-miR-1,NM_005324
hsa-miR-1,NM_018362
hsa-miR-1,NM_013412
hsa-miR-1,NM_024738
hsa-miR-1,NM_018413
hsa-miR-1,NM_016271
hsa-miR-1,NM_080725
hsa-miR-1,NM_145341
hsa-miR-1,NM_020820
hsa-miR-1,NM_003290
hsa-miR-1,NM_018319
hsa-miR-1,NM_173505
hsa-miR-1,NM_001010875
hsa-miR-1,NM_002639
hsa-miR-1,NM_080546
hsa-miR-1,NM_015455
hsa-miR-1,NM_000161
hsa-miR-1,NM_022098
hsa-miR-1,NM_014918
hsa-miR-1,NM_014408
hsa-miR-1,NM_018290
hsa-miR-1,NM_019063
hsa-miR-1,NM_024792
hsa-miR-1,NM_032865
hsa-miR-1,NM_018330
hsa-miR-1,NM_006454
hsa-miR-1,NM_006698
hsa-miR-1,NM_021913
hsa-miR-1,NM_145257
hsa-miR-1,NM_172020
hsa-miR-1,NM_017958
hsa-miR-1,NM_022075
hsa-miR-1,NM_001998
hsa-miR-1,NM_001655
hsa-miR-1,NM_007081
hsa-miR-1,NM_015271
hsa-miR-1,NM_022071
hsa-miR-1,NM_003537
hsa-miR-1,NM_004815
hsa-miR-1,NM_001659
hsa-miR-1,NM_020347
hsa-miR-1,NM_001358
hsa-miR-1,NM_019114
hsa-miR-1,NM_005034
hsa-miR-1,NM_001829
hsa-miR-1,NM_000274
hsa-miR-1,NM_003203
hsa-miR-1,NM_017860
hsa-miR-1,NM_003417
hsa-miR-1,NM_003271
hsa-miR-124-3p,NM_004402
hsa-miR-124-3p,NM_012101
hsa-miR-124-3p,NM_153367
hsa-miR-124-3p,NM_000966
hsa-miR-124-3p,NM_017851
hsa-miR-124-3p,NM_005720
hsa-miR-124-3p,NM_002835
hsa-miR-124-3p,NM_172105
hsa-miR-124-3p,NM_005646
hsa-miR-124-3p,NM_006341
hsa-miR-124-3p,NM_005573
hsa-miR-124-3p,NM_005754
hsa-miR-124-3p,NM_153186
hsa-miR-124-3p,NM_013282
hsa-miR-124-3p,NM_003909
hsa-miR-124-3p,NM_145648
hsa-miR-124-3p,NM_014762
hsa-miR-124-3p,NM_022899
hsa-miR-124-3p,NM_002473
hsa-miR-124-3p,NM_001421
hsa-miR-124-3p,NM_144578
hsa-miR-124-3p,NM_018845
hsa-miR-124-3p,NM_031942
hsa-miR-124-3p,NM_017994
hsa-miR-124-3p,NM_004099
hsa-miR-124-3p,NM_004685
hsa-miR-124-3p,NM_006467
hsa-miR-124-3p,NM_001630
hsa-miR-124-3p,NM_020841
hsa-miR-124-3p,NM_006806
hsa-miR-124-3p,NM_012434
hsa-miR-124-3p,NM_017966
hsa-miR-124-3p,NM_014300
hsa-miR-124-3p,NM_032236
hsa-miR-124-3p,NM_004339
hsa-miR-124-3p,NM_002633
hsa-miR-124-3p,NM_000104
hsa-miR-124-3p,NM_005903
hsa-miR-124-3p,NM_005597
hsa-miR-124-3p,NM_002958
hsa-miR-124-3p,NM_001901
hsa-miR-124-3p,NM_014918
hsa-miR-124-3p,NM_178439
hsa-miR-124-3p,NM_001099678
hsa-miR-124-3p,NM_139012
hsa-miR-21-5p,NM_005596
hsa-miR-137,NM_198256
hsa-miR-193a-3p,NM_198256
hsa-miR-200b-3p,NM_030751
hsa-miR-200b-3p,NM_014795
hsa-miR-200a-3p,NM_014795
hsa-miR-200a-3p,NM_030751
hsa-miR-205-5p,NM_014795
hsa-miR-205-5p,NM_030751
hsa-miR-148b-3p,NM_175850
hsa-miR-17-5p,NM_003376
hsa-miR-34a-5p,NM_003376
hsa-miR-34b-5p,NM_003376
hsa-miR-140-5p,NM_003376
hsa-miR-372-3p,NM_003376
hsa-miR-15a-5p,NM_003376
hsa-miR-16-5p,NM_003376
hsa-miR-147a,NM_003376
hsa-miR-520h,NM_003376
hsa-miR-205-5p,NM_003376
hsa-miR-504-5p,NM_003376
hsa-miR-520g-3p,NM_003376
hsa-miR-224-5p,NM_006595
hsa-miR-378a-5p,NM_016169
hsa-miR-101-3p,NM_012092
hsa-miR-103a-3p,NM_012092
hsa-miR-129-5p,NM_177422
hsa-miR-129-5p,NM_015215
hsa-miR-373-3p,NM_001001392
hsa-miR-21-5p,NM_078467
hsa-miR-21-5p,NM_014888
hsa-miR-21-5p,NM_005734
hsa-miR-21-5p,NM_024081
hsa-miR-21-5p,NM_001613
hsa-miR-21-5p,NM_001204
hsa-miR-21-5p,NM_014454
hsa-miR-21-5p,NM_181359
hsa-miR-21-5p,NM_144949
hsa-miR-21-5p,NM_138426
hsa-miR-21-5p,NM_018593
hsa-miR-21-5p,NM_170709
hsa-miR-21-5p,NM_006915
hsa-miR-21-5p,NM_001259
hsa-miR-21-5p,NM_138638
hsa-let-7b-5p,NM_020993
hsa-miR-155-5p,NM_206866
hsa-miR-155-5p,NM_199189
hsa-miR-424-3p,NM_002306
hsa-miR-29a-3p,NM_022552
hsa-miR-29b-3p,NM_022552
hsa-miR-29c-3p,NM_022552
hsa-miR-29c-3p,NM_003211
hsa-miR-29c-3p,NM_054016
hsa-miR-29a-3p,NM_003118
hsa-miR-196a-5p,NM_001556
hsa-let-7c-5p,NM_003483
hsa-let-7b-5p,NM_003483
hsa-let-7e-5p,NM_003483
hsa-miR-9-5p,NM_001007156
hsa-miR-125b-5p,NM_001007156
hsa-let-7a-5p,NM_003483
hsa-let-7g-5p,NM_003483
hsa-miR-17-5p,NM_001754
hsa-miR-20a-5p,NM_001754
hsa-miR-106a-5p,NM_001754
hsa-miR-96-5p,NM_015270
hsa-miR-96-5p,NM_198159
hsa-miR-182-5p,NM_198159
hsa-miR-107,NM_015640
hsa-miR-103a-3p,NM_015640
hsa-miR-34a-5p,NM_000633
hsa-let-7i-5p,NM_138554
hsa-miR-15b-5p,NM_000633
hsa-miR-124-3p,NM_004364
hsa-miR-133a-3p,NM_182471
hsa-miR-133b,NM_182471
hsa-miR-7-5p,NM_005228
hsa-miR-200c-3p,NM_030751
hsa-miR-203a,NM_003722
hsa-miR-98-5p,NM_003483
hsa-miR-15a-5p,NM_145341
hsa-miR-16-5p,NM_145341
hsa-miR-15a-5p,NM_014999
hsa-miR-16-5p,NM_014999
hsa-miR-15a-5p,NM_024426
